frame,speed,date,time,marker
0,205,18/10/2023,16:00:15,019+906
1,205,18/10/2023,16:00:15,019+911
2,205,18/10/2023,16:00:15,019+911
3,205,18/10/2023,16:00:15,019+916
4,205,18/10/2023,16:00:15,019+921
5,205,18/10/2023,16:00:15,019+921
6,205,18/10/2023,16:00:16,019+926
7,205,18/10/2023,16:00:16,019+931
8,205,18/10/2023,16:00:16,019+931
9,206,18/10/2023,16:00:16,019+936
10,206,18/10/2023,16:00:16,019+941
11,206,18/10/2023,16:00:16,019+941
12,206,18/10/2023,16:00:16,019+946
13,206,18/10/2023,16:00:16,019+951
14,206,18/10/2023,16:00:16,019+951
15,206,18/10/2023,16:00:16,019+956
16,206,18/10/2023,16:00:16,019+961
17,206,18/10/2023,16:00:16,019+961
18,206,18/10/2023,16:00:16,019+966
19,206,18/10/2023,16:00:16,019+971
20,206,18/10/2023,16:00:16,019+971
21,206,18/10/2023,16:00:16,019+976
22,206,18/10/2023,16:00:17,019+981
23,206,18/10/2023,16:00:17,019+981
24,206,18/10/2023,16:00:17,019+986
25,206,18/10/2023,16:00:17,019+991
26,206,18/10/2023,16:00:17,019+991
27,206,18/10/2023,16:00:17,019+996
28,207,18/10/2023,16:00:17,020+001
29,207,18/10/2023,16:00:17,020+001
30,207,18/10/2023,16:00:17,020+006
31,207,18/10/2023,16:00:17,020+011
32,207,18/10/2023,16:00:17,020+011
33,207,18/10/2023,16:00:17,020+016
34,207,18/10/2023,16:00:17,020+021
35,207,18/10/2023,16:00:17,020+021
36,207,18/10/2023,16:00:17,020+026
37,207,18/10/2023,16:00:17,020+031
38,207,18/10/2023,16:00:17,020+031
39,207,18/10/2023,16:00:17,020+036
40,207,18/10/2023,16:00:18,020+041
41,207,18/10/2023,16:00:18,020+041
42,207,18/10/2023,16:00:18,020+046
43,207,18/10/2023,16:00:18,020+051
44,207,18/10/2023,16:00:18,020+051
45,207,18/10/2023,16:00:18,020+056
46,207,18/10/2023,16:00:18,020+061
47,207,18/10/2023,16:00:18,020+061
48,208,18/10/2023,16:00:18,020+066
49,208,18/10/2023,16:00:18,020+071
50,208,18/10/2023,16:00:18,020+071
51,208,18/10/2023,16:00:18,020+076
52,208,18/10/2023,16:00:18,020+081
53,208,18/10/2023,16:00:18,020+081
54,208,18/10/2023,16:00:18,020+086
55,208,18/10/2023,16:00:18,020+091
56,208,18/10/2023,16:00:18,020+091
57,208,18/10/2023,16:00:19,020+096
58,208,18/10/2023,16:00:19,020+101
59,208,18/10/2023,16:00:19,020+101
60,208,18/10/2023,16:00:19,020+106
61,208,18/10/2023,16:00:19,020+111
62,208,18/10/2023,16:00:19,020+111
63,208,18/10/2023,16:00:19,020+116
64,208,18/10/2023,16:00:19,020+121
65,208,18/10/2023,16:00:19,020+121
66,208,18/10/2023,16:00:19,020+126
67,209,18/10/2023,16:00:19,020+131
68,209,18/10/2023,16:00:19,020+131
69,209,18/10/2023,16:00:19,020+136
70,209,18/10/2023,16:00:19,020+141
71,209,18/10/2023,16:00:19,020+141
72,209,18/10/2023,16:00:19,020+146
73,209,18/10/2023,16:00:19,020+151
74,209,18/10/2023,16:00:19,020+151
75,209,18/10/2023,16:00:20,020+156
76,209,18/10/2023,16:00:20,020+161
77,209,18/10/2023,16:00:20,020+161
78,209,18/10/2023,16:00:20,020+166
79,209,18/10/2023,16:00:20,020+171
80,209,18/10/2023,16:00:20,020+176
81,209,18/10/2023,16:00:20,020+176
82,209,18/10/2023,16:00:20,020+181
83,209,18/10/2023,16:00:20,020+186
84,209,18/10/2023,16:00:20,020+186
85,209,18/10/2023,16:00:20,020+191
86,209,18/10/2023,16:00:20,020+196
87,209,18/10/2023,16:00:20,020+196
88,209,18/10/2023,16:00:20,020+201
89,209,18/10/2023,16:00:20,020+206
90,209,18/10/2023,16:00:20,020+206
91,209,18/10/2023,16:00:20,020+211
92,210,18/10/2023,16:00:21,020+216
93,210,18/10/2023,16:00:21,020+216
94,210,18/10/2023,16:00:21,020+221
95,210,18/10/2023,16:00:21,020+226
96,210,18/10/2023,16:00:21,020+226
97,210,18/10/2023,16:00:21,020+231
98,210,18/10/2023,16:00:21,020+236
99,210,18/10/2023,16:00:21,020+236
100,210,18/10/2023,16:00:21,020+241
101,210,18/10/2023,16:00:21,020+246
102,210,18/10/2023,16:00:21,020+246
103,210,18/10/2023,16:00:21,020+251
104,210,18/10/2023,16:00:21,020+256
105,210,18/10/2023,16:00:21,020+256
106,210,18/10/2023,16:00:21,020+261
107,210,18/10/2023,16:00:21,020+266
108,210,18/10/2023,16:00:21,020+266
109,210,18/10/2023,16:00:22,020+271
110,210,18/10/2023,16:00:22,020+276
111,210,18/10/2023,16:00:22,020+276
112,210,18/10/2023,16:00:22,020+281
113,210,18/10/2023,16:00:22,020+286
114,210,18/10/2023,16:00:22,020+286
115,210,18/10/2023,16:00:22,020+291
116,210,18/10/2023,16:00:22,020+296
117,210,18/10/2023,16:00:22,020+296
118,210,18/10/2023,16:00:22,020+301
119,210,18/10/2023,16:00:22,020+306
120,210,18/10/2023,16:00:22,020+311
121,210,18/10/2023,16:00:22,020+311
122,211,18/10/2023,16:00:22,020+316
123,211,18/10/2023,16:00:22,020+321
124,211,18/10/2023,16:00:22,020+321
125,211,18/10/2023,16:00:22,020+326
126,211,18/10/2023,16:00:23,020+331
127,211,18/10/2023,16:00:23,020+331
128,211,18/10/2023,16:00:23,020+336
129,211,18/10/2023,16:00:23,020+341
130,211,18/10/2023,16:00:23,020+341
131,211,18/10/2023,16:00:23,020+346
132,211,18/10/2023,16:00:23,020+351
133,211,18/10/2023,16:00:23,020+351
134,211,18/10/2023,16:00:23,020+356
135,211,18/10/2023,16:00:23,020+361
136,211,18/10/2023,16:00:23,020+361
137,211,18/10/2023,16:00:23,020+366
138,211,18/10/2023,16:00:23,020+371
139,211,18/10/2023,16:00:23,020+371
140,211,18/10/2023,16:00:23,020+376
141,211,18/10/2023,16:00:23,020+381
142,211,18/10/2023,16:00:23,020+381
143,211,18/10/2023,16:00:23,020+386
144,211,18/10/2023,16:00:24,020+391
145,211,18/10/2023,16:00:24,020+391
146,211,18/10/2023,16:00:24,020+396
147,211,18/10/2023,16:00:24,020+401
148,211,18/10/2023,16:00:24,020+406
149,211,18/10/2023,16:00:24,020+406
150,211,18/10/2023,16:00:24,020+411
