frame,speed,date,time,marker,Interpolated Time
0,205,18/10/2023,16:00:15,019+906,16:00:15.687
1,205,18/10/2023,16:00:15,019+911,16:00:15.745
2,205,18/10/2023,16:00:15,019+911,16:00:15.802
3,205,18/10/2023,16:00:15,019+916,16:00:15.860
4,205,18/10/2023,16:00:15,019+921,16:00:15.918
5,205,18/10/2023,16:00:15,019+921,16:00:15.976
6,205,18/10/2023,16:00:16,019+926,16:00:16.034
7,205,18/10/2023,16:00:16,019+931,16:00:16.092
8,205,18/10/2023,16:00:16,019+931,16:00:16.150
9,206,18/10/2023,16:00:16,019+936,16:00:16.207
10,206,18/10/2023,16:00:16,019+941,16:00:16.265
11,206,18/10/2023,16:00:16,019+941,16:00:16.323
12,206,18/10/2023,16:00:16,019+946,16:00:16.381
13,206,18/10/2023,16:00:16,019+951,16:00:16.439
14,206,18/10/2023,16:00:16,019+951,16:00:16.497
15,206,18/10/2023,16:00:16,019+956,16:00:16.554
16,206,18/10/2023,16:00:16,019+961,16:00:16.612
17,206,18/10/2023,16:00:16,019+961,16:00:16.670
18,206,18/10/2023,16:00:16,019+966,16:00:16.728
19,206,18/10/2023,16:00:16,019+971,16:00:16.786
20,206,18/10/2023,16:00:16,019+971,16:00:16.844
21,206,18/10/2023,16:00:16,019+976,16:00:16.902
22,206,18/10/2023,16:00:17,019+981,16:00:16.959
23,206,18/10/2023,16:00:17,019+981,16:00:17.017
24,206,18/10/2023,16:00:17,019+986,16:00:17.075
25,206,18/10/2023,16:00:17,019+991,16:00:17.133
26,206,18/10/2023,16:00:17,019+991,16:00:17.191
27,206,18/10/2023,16:00:17,019+996,16:00:17.249
28,207,18/10/2023,16:00:17,020+001,16:00:17.306
29,207,18/10/2023,16:00:17,020+001,16:00:17.364
30,207,18/10/2023,16:00:17,020+006,16:00:17.422
31,207,18/10/2023,16:00:17,020+011,16:00:17.480
32,207,18/10/2023,16:00:17,020+011,16:00:17.538
33,207,18/10/2023,16:00:17,020+016,16:00:17.596
34,207,18/10/2023,16:00:17,020+021,16:00:17.653
35,207,18/10/2023,16:00:17,020+021,16:00:17.711
36,207,18/10/2023,16:00:17,020+026,16:00:17.769
37,207,18/10/2023,16:00:17,020+031,16:00:17.827
38,207,18/10/2023,16:00:17,020+031,16:00:17.885
39,207,18/10/2023,16:00:17,020+036,16:00:17.943
40,207,18/10/2023,16:00:18,020+041,16:00:18.001
41,207,18/10/2023,16:00:18,020+041,16:00:18.058
42,207,18/10/2023,16:00:18,020+046,16:00:18.116
43,207,18/10/2023,16:00:18,020+051,16:00:18.174
44,207,18/10/2023,16:00:18,020+051,16:00:18.232
45,207,18/10/2023,16:00:18,020+056,16:00:18.290
46,207,18/10/2023,16:00:18,020+061,16:00:18.348
47,207,18/10/2023,16:00:18,020+061,16:00:18.405
48,208,18/10/2023,16:00:18,020+066,16:00:18.463
49,208,18/10/2023,16:00:18,020+071,16:00:18.521
50,208,18/10/2023,16:00:18,020+071,16:00:18.579
51,208,18/10/2023,16:00:18,020+076,16:00:18.637
52,208,18/10/2023,16:00:18,020+081,16:00:18.695
53,208,18/10/2023,16:00:18,020+081,16:00:18.753
54,208,18/10/2023,16:00:18,020+086,16:00:18.810
55,208,18/10/2023,16:00:18,020+091,16:00:18.868
56,208,18/10/2023,16:00:18,020+091,16:00:18.926
57,208,18/10/2023,16:00:19,020+096,16:00:18.984
58,208,18/10/2023,16:00:19,020+101,16:00:19.042
59,208,18/10/2023,16:00:19,020+101,16:00:19.100
60,208,18/10/2023,16:00:19,020+106,16:00:19.157
61,208,18/10/2023,16:00:19,020+111,16:00:19.215
62,208,18/10/2023,16:00:19,020+111,16:00:19.273
63,208,18/10/2023,16:00:19,020+116,16:00:19.331
64,208,18/10/2023,16:00:19,020+121,16:00:19.389
65,208,18/10/2023,16:00:19,020+121,16:00:19.447
66,208,18/10/2023,16:00:19,020+126,16:00:19.505
67,209,18/10/2023,16:00:19,020+131,16:00:19.562
68,209,18/10/2023,16:00:19,020+131,16:00:19.620
69,209,18/10/2023,16:00:19,020+136,16:00:19.678
70,209,18/10/2023,16:00:19,020+141,16:00:19.736
71,209,18/10/2023,16:00:19,020+141,16:00:19.794
72,209,18/10/2023,16:00:19,020+146,16:00:19.852
73,209,18/10/2023,16:00:19,020+151,16:00:19.909
74,209,18/10/2023,16:00:19,020+151,16:00:19.967
75,209,18/10/2023,16:00:20,020+156,16:00:20.025
76,209,18/10/2023,16:00:20,020+161,16:00:20.083
77,209,18/10/2023,16:00:20,020+161,16:00:20.141
78,209,18/10/2023,16:00:20,020+166,16:00:20.199
79,209,18/10/2023,16:00:20,020+171,16:00:20.257
80,209,18/10/2023,16:00:20,020+176,16:00:20.314
81,209,18/10/2023,16:00:20,020+176,16:00:20.372
82,209,18/10/2023,16:00:20,020+181,16:00:20.430
83,209,18/10/2023,16:00:20,020+186,16:00:20.488
84,209,18/10/2023,16:00:20,020+186,16:00:20.546
85,209,18/10/2023,16:00:20,020+191,16:00:20.604
86,209,18/10/2023,16:00:20,020+196,16:00:20.661
87,209,18/10/2023,16:00:20,020+196,16:00:20.719
88,209,18/10/2023,16:00:20,020+201,16:00:20.777
89,209,18/10/2023,16:00:20,020+206,16:00:20.835
90,209,18/10/2023,16:00:20,020+206,16:00:20.893
91,209,18/10/2023,16:00:20,020+211,16:00:20.951
92,210,18/10/2023,16:00:21,020+216,16:00:21.009
93,210,18/10/2023,16:00:21,020+216,16:00:21.066
94,210,18/10/2023,16:00:21,020+221,16:00:21.124
95,210,18/10/2023,16:00:21,020+226,16:00:21.182
96,210,18/10/2023,16:00:21,020+226,16:00:21.240
97,210,18/10/2023,16:00:21,020+231,16:00:21.298
98,210,18/10/2023,16:00:21,020+236,16:00:21.356
99,210,18/10/2023,16:00:21,020+236,16:00:21.413
100,210,18/10/2023,16:00:21,020+241,16:00:21.471
101,210,18/10/2023,16:00:21,020+246,16:00:21.529
102,210,18/10/2023,16:00:21,020+246,16:00:21.587
103,210,18/10/2023,16:00:21,020+251,16:00:21.645
104,210,18/10/2023,16:00:21,020+256,16:00:21.703
105,210,18/10/2023,16:00:21,020+256,16:00:21.761
106,210,18/10/2023,16:00:21,020+261,16:00:21.818
107,210,18/10/2023,16:00:21,020+266,16:00:21.876
108,210,18/10/2023,16:00:21,020+266,16:00:21.934
109,210,18/10/2023,16:00:22,020+271,16:00:21.992
110,210,18/10/2023,16:00:22,020+276,16:00:22.050
111,210,18/10/2023,16:00:22,020+276,16:00:22.108
112,210,18/10/2023,16:00:22,020+281,16:00:22.165
113,210,18/10/2023,16:00:22,020+286,16:00:22.223
114,210,18/10/2023,16:00:22,020+286,16:00:22.281
115,210,18/10/2023,16:00:22,020+291,16:00:22.339
116,210,18/10/2023,16:00:22,020+296,16:00:22.397
117,210,18/10/2023,16:00:22,020+296,16:00:22.455
118,210,18/10/2023,16:00:22,020+301,16:00:22.513
119,210,18/10/2023,16:00:22,020+306,16:00:22.570
120,210,18/10/2023,16:00:22,020+311,16:00:22.628
121,210,18/10/2023,16:00:22,020+311,16:00:22.686
122,211,18/10/2023,16:00:22,020+316,16:00:22.744
123,211,18/10/2023,16:00:22,020+321,16:00:22.802
124,211,18/10/2023,16:00:22,020+321,16:00:22.860
125,211,18/10/2023,16:00:22,020+326,16:00:22.917
126,211,18/10/2023,16:00:23,020+331,16:00:22.975
127,211,18/10/2023,16:00:23,020+331,16:00:23.033
128,211,18/10/2023,16:00:23,020+336,16:00:23.091
129,211,18/10/2023,16:00:23,020+341,16:00:23.149
130,211,18/10/2023,16:00:23,020+341,16:00:23.207
131,211,18/10/2023,16:00:23,020+346,16:00:23.264
132,211,18/10/2023,16:00:23,020+351,16:00:23.322
133,211,18/10/2023,16:00:23,020+351,16:00:23.380
134,211,18/10/2023,16:00:23,020+356,16:00:23.438
135,211,18/10/2023,16:00:23,020+361,16:00:23.496
136,211,18/10/2023,16:00:23,020+361,16:00:23.554
137,211,18/10/2023,16:00:23,020+366,16:00:23.612
138,211,18/10/2023,16:00:23,020+371,16:00:23.669
139,211,18/10/2023,16:00:23,020+371,16:00:23.727
140,211,18/10/2023,16:00:23,020+376,16:00:23.785
141,211,18/10/2023,16:00:23,020+381,16:00:23.843
142,211,18/10/2023,16:00:23,020+381,16:00:23.901
143,211,18/10/2023,16:00:23,020+386,16:00:23.959
144,211,18/10/2023,16:00:24,020+391,16:00:24.016
145,211,18/10/2023,16:00:24,020+391,16:00:24.074
146,211,18/10/2023,16:00:24,020+396,16:00:24.132
147,211,18/10/2023,16:00:24,020+401,16:00:24.190
148,211,18/10/2023,16:00:24,020+406,16:00:24.248
149,211,18/10/2023,16:00:24,020+406,16:00:24.306
150,211,18/10/2023,16:00:24,020+411,16:00:24.364
151,211,18/10/2023,16:00:24,020+416,16:00:24.421
152,211,18/10/2023,16:00:24,020+416,16:00:24.479
153,212,18/10/2023,16:00:24,020+421,16:00:24.537
154,212,18/10/2023,16:00:24,020+426,16:00:24.595
155,212,18/10/2023,16:00:24,020+426,16:00:24.653
156,212,18/10/2023,16:00:24,020+431,16:00:24.711
157,212,18/10/2023,16:00:24,020+436,16:00:24.768
158,212,18/10/2023,16:00:24,020+436,16:00:24.826
159,212,18/10/2023,16:00:24,020+441,16:00:24.884
160,212,18/10/2023,16:00:24,020+446,16:00:24.942
161,212,18/10/2023,16:00:24,020+446,16:00:25.000
162,212,18/10/2023,16:00:25,020+451,16:00:25.058
163,212,18/10/2023,16:00:25,020+456,16:00:25.116
164,212,18/10/2023,16:00:25,020+456,16:00:25.173
165,212,18/10/2023,16:00:25,020+461,16:00:25.231
166,212,18/10/2023,16:00:25,020+466,16:00:25.289
167,212,18/10/2023,16:00:25,020+466,16:00:25.347
168,212,18/10/2023,16:00:25,020+471,16:00:25.405
169,212,18/10/2023,16:00:25,020+476,16:00:25.463
170,212,18/10/2023,16:00:25,020+481,16:00:25.520
171,212,18/10/2023,16:00:25,020+481,16:00:25.578
172,212,18/10/2023,16:00:25,020+486,16:00:25.636
173,212,18/10/2023,16:00:25,020+491,16:00:25.694
174,212,18/10/2023,16:00:25,020+491,16:00:25.752
175,212,18/10/2023,16:00:25,020+496,16:00:25.810
176,212,18/10/2023,16:00:25,020+501,16:00:25.868
177,212,18/10/2023,16:00:25,020+501,16:00:25.925
178,212,18/10/2023,16:00:26,020+506,16:00:25.983
179,212,18/10/2023,16:00:26,020+511,16:00:26.041
180,212,18/10/2023,16:00:26,020+511,16:00:26.099
181,212,18/10/2023,16:00:26,020+516,16:00:26.157
182,212,18/10/2023,16:00:26,020+521,16:00:26.215
183,212,18/10/2023,16:00:26,020+521,16:00:26.272
184,213,18/10/2023,16:00:26,020+526,16:00:26.330
185,213,18/10/2023,16:00:26,020+531,16:00:26.388
186,213,18/10/2023,16:00:26,020+531,16:00:26.446
187,213,18/10/2023,16:00:26,020+536,16:00:26.504
188,213,18/10/2023,16:00:26,020+541,16:00:26.562
189,213,18/10/2023,16:00:26,020+546,16:00:26.620
190,213,18/10/2023,16:00:26,020+546,16:00:26.677
191,213,18/10/2023,16:00:26,020+551,16:00:26.735
192,213,18/10/2023,16:00:26,020+556,16:00:26.793
193,213,18/10/2023,16:00:26,020+556,16:00:26.851
194,213,18/10/2023,16:00:26,020+561,16:00:26.909
195,213,18/10/2023,16:00:27,020+566,16:00:26.967
196,213,18/10/2023,16:00:27,020+566,16:00:27.024
197,213,18/10/2023,16:00:27,020+571,16:00:27.082
198,213,18/10/2023,16:00:27,020+576,16:00:27.140
199,213,18/10/2023,16:00:27,020+576,16:00:27.198
200,213,18/10/2023,16:00:27,020+581,16:00:27.256
201,213,18/10/2023,16:00:27,020+586,16:00:27.314
202,213,18/10/2023,16:00:27,020+586,16:00:27.372
203,213,18/10/2023,16:00:27,020+591,16:00:27.429
204,213,18/10/2023,16:00:27,020+596,16:00:27.487
205,213,18/10/2023,16:00:27,020+596,16:00:27.545
206,213,18/10/2023,16:00:27,020+601,16:00:27.603
207,213,18/10/2023,16:00:27,020+606,16:00:27.661
208,213,18/10/2023,16:00:27,020+611,16:00:27.719
209,213,18/10/2023,16:00:27,020+611,16:00:27.776
210,213,18/10/2023,16:00:27,020+616,16:00:27.834
211,213,18/10/2023,16:00:27,020+621,16:00:27.892
212,213,18/10/2023,16:00:27,020+621,16:00:27.950
213,213,18/10/2023,16:00:28,020+626,16:00:28.008
214,213,18/10/2023,16:00:28,020+631,16:00:28.066
215,213,18/10/2023,16:00:28,020+631,16:00:28.124
216,213,18/10/2023,16:00:28,020+636,16:00:28.181
217,214,18/10/2023,16:00:28,020+641,16:00:28.239
218,214,18/10/2023,16:00:28,020+641,16:00:28.297
219,214,18/10/2023,16:00:28,020+646,16:00:28.355
220,214,18/10/2023,16:00:28,020+651,16:00:28.413
221,214,18/10/2023,16:00:28,020+651,16:00:28.471
222,214,18/10/2023,16:00:28,020+656,16:00:28.528
223,214,18/10/2023,16:00:28,020+661,16:00:28.586
224,214,18/10/2023,16:00:28,020+666,16:00:28.644
225,214,18/10/2023,16:00:28,020+666,16:00:28.702
226,214,18/10/2023,16:00:28,020+671,16:00:28.760
