Frame,Speed,Time,Km marker
0,205,16:00:15,019+906
10,206,16:00:16,019+941
20,206,16:00:16,019+971
30,207,16:00:17,020+006
40,207,16:00:18,020+041
50,208,16:00:18,020+071
60,208,16:00:19,020+106
70,209,16:00:19,020+141
80,209,16:00:20,020+176
90,209,16:00:20,020+206
100,210,16:00:21,020+241
110,210,16:00:22,020+276
120,210,16:00:22,020+311
130,211,16:00:23,020+341
140,211,16:00:23,020+376
150,211,16:00:24,020+411
160,212,16:00:24,020+446
170,212,16:00:25,020+481
180,212,16:00:26,020+511
190,213,16:00:26,020+546
200,213,16:00:27,020+581
210,213,16:00:27,020+616
220,214,16:00:28,020+651
230,214,16:00:29,020+686
240,214,16:00:29,020+721
250,215,16:00:30,020+751
260,215,16:00:30,020+786
270,215,16:00:31,020+821
280,216,16:00:31,020+856
290,216,16:00:32,020+891
300,216,16:00:33,020+926
310,217,16:00:33,020+961
320,217,16:00:34,020+996
330,218,16:00:34,021+031
340,218,16:00:35,021+066
350,219,16:00:35,021+101
360,219,16:00:36,021+136
370,220,16:00:37,021+171
380,220,16:00:37,021+206
390,221,16:00:38,021+246
400,221,16:00:38,021+281
410,222,16:00:39,021+316
420,222,16:00:40,021+351
430,223,16:00:40,021+386
440,223,16:00:41,021+421
450,224,16:00:41,021+461
460,224,16:00:42,021+496
470,225,16:00:42,021+531
480,225,16:00:43,021+566
490,226,16:00:44,021+601
500,226,16:00:44,021+641
510,227,16:00:45,021+676
520,227,16:00:45,021+711
530,228,16:00:46,021+751
540,229,16:00:46,021+786
550,230,16:00:47,021+826
560,230,16:00:48,021+861
570,231,16:00:48,021+896
580,232,16:00:49,021+936
590,232,16:00:49,021+971
600,233,16:00:50,022+011
610,233,16:00:50,022+046
620,234,16:00:51,022+086
630,234,16:00:52,022+121
640,235,16:00:52,022+161
650,235,16:00:53,022+201
660,235,16:00:53,022+236
670,236,16:00:54,022+276
680,236,16:00:55,022+311
690,237,16:00:55,022+351
700,237,16:00:56,022+391
710,238,16:00:56,022+426
720,238,16:00:57,022+466
730,238,16:00:57,022+506
740,239,16:00:58,022+541
750,239,16:00:59,022+581
760,240,16:00:59,022+621
770,240,16:01:00,022+656
780,241,16:01:00,022+696
790,241,16:01:01,022+736
800,242,16:01:02,022+776
810,243,16:01:02,022+816
820,243,16:01:03,022+851
830,243,16:01:03,022+891
840,244,16:01:04,022+931
850,244,16:01:04,022+971
860,245,16:01:05,023+011
870,245,16:01:06,023+051
880,245,16:01:06,023+086
890,245,16:01:07,023+126
900,245,16:01:07,023+166
910,246,16:01:08,023+206
920,246,16:01:08,023+246
930,246,16:01:09,023+286
940,246,16:01:10,023+331
950,246,16:01:10,023+371
960,247,16:01:11,023+411
970,247,16:01:11,023+446
980,248,16:01:12,023+486
990,248,16:01:13,023+526
1000,249,16:01:13,023+566
1010,249,16:01:14,023+606
1020,250,16:01:14,023+651
1030,250,16:01:15,023+691
1040,251,16:01:15,023+731
1050,251,16:01:16,023+771
1060,252,16:01:17,023+811
1070,252,16:01:17,023+851
1080,253,16:01:18,023+891
1090,253,16:01:18,023+931
1100,254,16:01:19,023+971
1110,254,16:01:20,024+016
1120,255,16:01:20,024+056
1130,255,16:01:21,024+096
1140,255,16:01:21,024+136
1150,255,16:01:22,024+176
1160,255,16:01:22,024+221
1170,255,16:01:23,024+261
1180,255,16:01:24,024+301
1190,255,16:01:24,024+341
1200,255,16:01:25,024+381
1210,254,16:01:25,024+421
1220,254,16:01:26,024+466
1230,254,16:01:26,024+506
1240,254,16:01:27,024+546
1250,254,16:01:28,024+586
1260,254,16:01:28,024+626
1270,253,16:01:29,024+666
1280,253,16:01:29,024+706
1290,253,16:01:30,024+751
1300,253,16:01:30,024+791
1310,253,16:01:31,024+831
1320,253,16:01:32,024+871
1330,253,16:01:32,024+911
1340,252,16:01:33,024+951
1350,252,16:01:33,024+991
1360,252,16:01:34,025+031
1370,252,16:01:34,025+071
1380,252,16:01:35,025+116
1390,251,16:01:36,025+156
1400,251,16:01:36,025+196
1410,251,16:01:37,025+236
1420,251,16:01:37,025+276
1430,251,16:01:38,025+316
1440,250,16:01:39,025+361
1450,250,16:01:39,025+401
1460,250,16:01:40,025+441
1470,250,16:01:40,025+481
1480,250,16:01:41,025+521
1490,249,16:01:42,025+561
1500,249,16:01:42,025+601
1510,249,16:01:43,025+641
1520,249,16:01:43,025+681
1530,249,16:01:44,025+721
1540,249,16:01:44,025+756
1550,248,16:01:45,025+796
1560,248,16:01:46,025+836
1570,248,16:01:46,025+876
1580,248,16:01:47,025+916
1590,248,16:01:47,025+956
1600,248,16:01:48,025+996
1610,247,16:01:48,026+036
1620,247,16:01:49,026+076
1630,247,16:01:50,026+116
1640,247,16:01:50,026+156
1650,247,16:01:51,026+196
1660,246,16:01:51,026+236
1670,246,16:01:52,026+276
1680,246,16:01:53,026+316
1690,246,16:01:53,026+351
1700,246,16:01:54,026+391
1710,246,16:01:54,026+431
1720,246,16:01:55,026+471
1730,245,16:01:55,026+511
1740,245,16:01:56,026+551
1750,245,16:01:57,026+591
1760,245,16:01:57,026+626
1770,244,16:01:58,026+666
1780,244,16:01:58,026+706
1790,243,16:01:59,026+746
1800,243,16:01:59,026+786
1810,243,16:02:00,026+821
1820,242,16:02:01,026+866
1830,242,16:02:01,026+906
1840,242,16:02:02,026+946
1850,242,16:02:02,026+981
1860,242,16:02:03,027+021
1870,242,16:02:04,027+061
1880,242,16:02:04,027+101
1890,242,16:02:05,027+136
1900,243,16:02:05,027+176
1910,244,16:02:06,027+216
1920,244,16:02:06,027+256
1930,245,16:02:07,027+296
1940,246,16:02:08,027+336
1950,246,16:02:08,027+376
1960,247,16:02:09,027+416
1970,248,16:02:09,027+456
1980,248,16:02:10,027+496
1990,249,16:02:11,027+536
2000,249,16:02:11,027+576
2010,250,16:02:12,027+616
2020,251,16:02:12,027+656
2030,251,16:02:13,027+696
2040,251,16:02:13,027+736
2050,252,16:02:14,027+776
2060,252,16:02:15,027+816
2070,253,16:02:15,027+856
2080,253,16:02:16,027+901
2090,253,16:02:16,027+941
2100,254,16:02:17,027+981
2110,254,16:02:17,028+021
2120,255,16:02:18,028+061
2130,255,16:02:19,028+101
2140,255,16:02:19,028+146
2150,256,16:02:20,028+186
2160,256,16:02:20,028+226
2170,256,16:02:21,028+266
2180,257,16:02:22,028+311
2190,257,16:02:22,028+351
2200,258,16:02:23,028+391
2210,258,16:02:23,028+431
2220,258,16:02:24,028+476
2230,259,16:02:24,028+516
2240,259,16:02:25,028+556
2250,259,16:02:26,028+601
2260,260,16:02:26,028+646
2270,260,16:02:27,028+686
2280,260,16:02:27,028+731
2290,260,16:02:28,028+771
2300,261,16:02:28,028+811
2310,261,16:02:29,028+856
2320,262,16:02:30,028+896
2330,262,16:02:30,028+941
2340,263,16:02:31,028+981
2350,263,16:02:31,029+026
2360,264,16:02:32,029+066
2370,264,16:02:33,029+111
2380,265,16:02:33,029+151
2390,266,16:02:34,029+196
2400,266,16:02:34,029+236
2410,267,16:02:35,029+281
2420,267,16:02:35,029+321
2430,267,16:02:36,029+366
2440,268,16:02:37,029+411
2450,268,16:02:37,029+451
2460,269,16:02:38,029+496
2470,269,16:02:38,029+541
2480,269,16:02:39,029+581
2490,270,16:02:39,029+626
2500,270,16:02:40,029+671
2510,270,16:02:41,029+711
2520,270,16:02:41,029+756
2530,271,16:02:42,029+801
2540,271,16:02:42,029+841
